coursecode,courseidentificationsystemdescriptorid,educationorganizationid,identificationcode,assigningorganizationidentificationcode,coursecatalogurl,createdate
"ART-01","618","255901107","ART-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030795"
"03100500","618","255901001","ALG-1",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030558"
"03100500","624","255901001","03100500",,,"2020-11-13 14:15:34.030946"
"ART-03","618","255901107","ART-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.053123"
"ART-05","618","255901107","ART-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.054415"
"ART3-EM","618","255901001","ART3-EM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.065478"
"BAND-07","618","255901044","BAND-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.066494"
"CREAT-WR","618","255901001","CREAT-WR",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.077700"
"BIO","618","255901001","BIO",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.077729"
"ELA-03","618","255901107","ELA-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.089799"
"ELA-02","618","255901107","ELA-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.089953"
"ELA-05","618","255901107","ELA-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.099889"
"ELA-06","618","255901044","ELA-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.102144"
"ENG-3","618","255901001","ENG-3",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.114775"
"ENG-2","618","255901001","ENG-2",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.116083"
"GEOM","618","255901001","GEOM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.127016"
"GOVT","618","255901001","GOVT",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.129022"
"HLTH-ED","618","255901001","HLTH-ED",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.139211"
"HUMT","618","255901001","HUMT",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.140557"
"MATH-02","618","255901107","MATH-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155296"
"MATH-04","618","255901107","MATH-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155824"
"MATH-05","618","255901107","MATH-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.167556"
"MATH-06","618","255901044","MATH-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.168790"
"MUS-02","618","255901107","MUS-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.180364"
"MUS-04","618","255901107","MUS-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.183667"
"MUS-05","618","255901107","MUS-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.191804"
"PE-01","618","255901107","PE-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.195207"
"PE-05","618","255901107","PE-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.205660"
"PE-06","618","255901044","PE-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.206709"
"PE-07","618","255901044","PE-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.216686"
"PE-08","618","255901044","PE-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.218537"
"PRE-CALC","618","255901001","PRE-CALC",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.228998"
"SCI-03","618","255901107","SCI-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.231821"
"SCI-04","618","255901107","SCI-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.241817"
"SCI-07","618","255901044","SCI-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.244478"
"SCI-08","618","255901044","SCI-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.253987"
"SPAN-3","618","255901001","SPAN-3",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.256237"
"SS-04","618","255901107","SS-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.273341"
"SS-03","618","255901107","SS-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.273496"
"SS-07","618","255901044","SS-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.286507"
"WGEO","618","255901001","WGEO",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.298662"
"ALG-2","618","255901001","ALG-2",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030800"
"ART-06","618","255901044","ART-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.053124"
"ART2-EM","618","255901001","ART2-EM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.065259"
"CHEM","618","255901001","CHEM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.077688"
"ELA-01","618","255901107","ELA-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.088420"
"ELA-04","618","255901107","ELA-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.099848"
"ENG-1","618","255901001","ENG-1",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.113257"
"ENVIRSYS","618","255901001","ENVIRSYS",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.126568"
"HLTH-08","618","255901044","HLTH-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.139203"
"MATH-03","618","255901107","MATH-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155266"
"MATH-07","618","255901044","MATH-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.168789"
"MUS-01","618","255901107","MUS-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.180310"
"MUS-06","618","255901044","MUS-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.192939"
"PE-03","618","255901107","PE-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.204906"
"PHOTJOUR","618","255901001","PHOTJOUR",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.218390"
"SCI-01","618","255901107","SCI-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.229633"
"SCI-05","618","255901107","SCI-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.242842"
"SPAN-1","618","255901001","SPAN-1",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.254790"
"SS-01","618","255901107","SS-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.269077"
"SS-06","618","255901044","SS-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.286004"
"TAMULTIM","618","255901001","TAMULTIM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.296289"
"W-HIST","618","255901001","W-HIST",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.300994"
"ART-02","618","255901107","ART-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030586"
"ART-04","618","255901107","ART-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.053346"
"ART-1","618","255901001","ART-1",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.064360"
"BAND-08","618","255901044","BAND-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.076146"
"ECO-FE","618","255901001","ECO-FE",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.087408"
"ELA-07","618","255901044","ELA-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.103059"
"ELA-08","618","255901044","ELA-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.113224"
"ENG-4","618","255901001","ENG-4",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.125086"
"HLTH-07","618","255901044","HLTH-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.138039"
"MATH-01","618","255901107","MATH-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155288"
"MATH-08","618","255901044","MATH-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.171580"
"MUS-03","618","255901107","MUS-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.180963"
"PE-02","618","255901107","PE-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.194639"
"PE-04","618","255901107","PE-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.204769"
"PHYSICS","618","255901001","PHYSICS",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.218877"
"SCI-02","618","255901107","SCI-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.231339"
"SCI-06","618","255901044","SCI-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.244038"
"SPAN-2","618","255901001","SPAN-2",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.256780"
"SS-02","618","255901107","SS-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.273293"
"SS-05","618","255901107","SS-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.282109"
"SS-08","618","255901044","SS-08",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.288243"
"US-HIST","618","255901001","US-HIST",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.297764"
